cycle,query_index,query,aurora_time_all,aurora_acc_all,aurora_time_mean,aurora_acc_mean,raw_time_mean,raw_acc_mean,raw_prec,raw_rec,raw_f1,aurora_prec_mean,aurora_rec_mean,aurora_f1_mean
1,0,"{
    ""q"":	""What courses should I take next semester to stay on track for my CS-BS degree (max 15 credits)?"",
    ""user_id"" : 6362138
}",[29.2796528339386],[0.9718347787857056],29.2796528339386,0.9718347787857056,13.267633438110352,0.8339271545410156,0.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091
1,1,"{
    ""q"":	""Plan the rest of my CS-BS degree so I can graduate on time."",
    ""user_id"" : 6362138
}",[35.531545877456665],[0.9449614882469177],35.531545877456665,0.9449614882469177,13.343806743621826,0.5956168174743652,0.0,0.0,0.0,1.0,1.0,1.0
1,2,"{
    ""q"":	""I’d like an AI-oriented schedule for next Fall, max 12 credits. What should I take?"",
    ""user_id"" : 6362138
}",[28.289024591445923],[0.978226900100708],28.289024591445923,0.978226900100708,13.267980337142944,0.5851516127586365,0.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091
1,3,"{
    ""q"":	""Suggest five courses for Spring that move me closest to graduation."",
    ""user_id"" : 6362138
}",[23.332579135894775],[0.9576813578605652],23.332579135894775,0.9576813578605652,13.346554517745972,0.7313333749771118,0.0,0.0,0.0,1.0,0.8,0.888888888888889
1,4,"{
    ""q"":	""Plan my final academic year so I can graduate next Summer 2026."",
    ""user_id"" : 6362138
}",[22.726213216781616],[0.8892996311187744],22.726213216781616,0.8892996311187744,13.176665782928467,0.49852579832077026,0.0,0.0,0.0,1.0,1.0,1.0
1,5,"{
    ""q"": 	""Aurora, can you build a balanced 9-credit schedule for next semester?"",
    ""user_id"": 6362138
}",[20.479618549346924],[0.9177595376968384],20.479618549346924,0.9177595376968384,13.307819604873657,0.6021496653556824,0.0,0.0,0.0,1.0,1.0,1.0
1,6,"{
    ""q"": 	""Are there any courses I can take that will help me fulfill two areas at once (“double dip”)?"",
    ""user_id"": 6362138
}",[15.323655366897583],[0.975208580493927],15.323655366897583,0.975208580493927,13.786466836929321,0.5812480449676514,0.0,0.0,0.0,1.0,1.0,1.0
1,7,"{
    ""q"": 	""I am feeling overwhelmed by courses and it's affecting my mental health. What are my options and resources now and how can I build a more balanced schedule next semester?"",
    ""user_id"": 6362138
}",[34.13409399986267],[0.9299588203430176],34.13409399986267,0.9299588203430176,13.725011110305786,0.6065629124641418,0.0,0.0,0.0,0.5714285714285714,0.8,0.6666666666666666
1,8,"{
    ""q"": 	""Which classes do I need to take for this major?"",
    ""user_id"": 6362138
}",[97.56682682037354],[0.9894036650657654],97.56682682037354,0.9894036650657654,16.530428409576416,0.8535279035568237,0.0,0.0,0.0,0.3888888888888889,1.0,0.56
1,9,"{
    ""q"": 	""What classes should I take if I want to focus on Software Engineering?"",
    ""user_id"": 6362138
}",[47.346163511276245],[0.9643029570579529],47.346163511276245,0.9643029570579529,15.996306896209717,0.824713945388794,0.0,0.0,0.0,0.5714285714285714,0.8,0.6666666666666666
